Voltage [V] - Plot 0	Current [microA] - Plot 0
25.38	7.28613
25.1262	7.2254
24.8724	7.18787
24.6186	7.13921
24.3648	7.12215
24.111	7.04503
23.8572	6.97499
23.6034	6.95632
23.3496	6.93022
23.0958	6.88758
22.842	6.84642
22.5882	6.80973
22.3344	6.5831
22.0806	6.751
21.8268	6.68305
21.573	6.63906
21.3192	6.60375
21.0654	6.56306
20.8116	6.51019
20.5578	6.4744
20.304	6.42937
20.0502	6.36681
19.7964	6.31107
19.5426	6.27755
19.2888	6.21623
19.035	6.18363
18.7812	6.12312
18.5274	6.07255
18.2736	6.03589
18.0198	5.97863
17.766	5.92219
17.5122	5.85508
17.2584	5.81356
17.0046	5.76122
16.7508	5.71788
16.497	5.66628
16.2432	5.60919
15.9894	5.56577
15.7356	5.52078
15.4818	5.44549
15.228	5.39691
14.9742	5.32677
14.7204	5.24945
14.4666	5.17687
14.2128	5.11715
13.959	4.99782
13.7052	4.88376
13.4514	4.77131
13.1976	4.60298
12.9438	4.44994
12.69	4.26335
12.4362	4.08644
12.1824	3.85327
11.9286	3.58395
11.6748	3.22255
11.421	2.87151
11.1672	2.49701
10.9134	2.08009
10.6596	1.6535
10.4058	1.15159
10.152	0.65169
9.8982	0.14633
9.6444	-0.38305
9.3906	-0.93885
9.1368	-1.48003
8.883	-1.99687
8.6292	-2.51613
8.3754	-2.99816
8.1216	-3.47319
7.8678	-3.90208
7.614	-4.30084
7.3602	-4.64418
7.1064	-4.95282
6.8526	-5.24021
6.5988	-5.47938
6.345	-5.69257
6.0912	-5.88414
5.8374	-6.03709
5.5836	-6.16237
5.3298	-6.28867
5.076	-6.38122
4.8222	-6.47923
4.5684	-6.56968
4.3146	-6.63526
4.0608	-6.71782
3.807	-6.77623
3.5532	-6.85159
3.2994	-6.9136
3.0456	-6.97871
2.7918	-7.04201
2.538	-7.10288
2.2842	-7.15341
2.0304	-7.21715
1.7766	-7.26754
1.5228	-7.33988
1.269	-7.39374
1.0152	-7.44984
0.7614	-7.50788
0.5076	-7.56825
0.2538	-7.61135
0	-7.67024
-0.2538	-7.73046
-0.5076	-7.77264
-0.7614	-7.83608
-1.0152	-7.88209
-1.269	-7.93063
-1.5228	-7.99181
-1.7766	-8.04334
-2.0304	-8.09594
-2.2842	-8.15261
-2.538	-8.19326
-2.7918	-8.26087
-3.0456	-8.31853
-3.2994	-8.34341
-3.5532	-8.38979
-3.807	-8.43719
-4.0608	-8.49405
-4.3146	-8.54073
-4.5684	-8.59188
-4.8222	-8.59997
-5.076	-8.65326
-5.3298	-8.72328
-5.5836	-8.77383
-5.8374	-8.80545
