Voltage [V] - Plot 0	Current [microA] - Plot 0
25.38	3.82754
25.1262	3.80231
24.8724	3.77184
24.6186	3.72958
24.3648	3.70357
24.111	3.70629
23.8572	3.68459
23.6034	3.70092
23.3496	3.62035
23.0958	3.63593
22.842	3.61303
22.5882	3.58224
22.3344	3.54723
22.0806	3.5287
21.8268	3.49361
21.573	3.47713
21.3192	3.45221
21.0654	3.41597
20.8116	3.39877
20.5578	3.36626
20.304	3.33784
20.0502	3.31026
19.7964	3.27937
19.5426	3.25248
19.2888	3.22158
19.035	3.20174
18.7812	3.15742
18.5274	3.13623
18.2736	3.11005
18.0198	3.08341
17.766	3.04295
17.5122	3.01647
17.2584	2.97178
17.0046	2.94502
16.7508	2.91647
16.497	2.89121
16.2432	2.86488
15.9894	2.81055
15.7356	2.76064
15.4818	2.73072
15.228	2.67026
14.9742	2.63456
14.7204	2.58588
14.4666	2.53754
14.2128	2.47943
13.959	2.4143
13.7052	2.30621
13.4514	2.24024
13.1976	2.16873
12.9438	2.07709
12.69	1.98824
12.4362	1.88168
12.1824	1.76908
11.9286	1.6362
11.6748	1.50288
11.421	1.37111
11.1672	1.20385
10.9134	1.06669
10.6596	0.88768
10.4058	0.7103
10.152	0.53341
9.8982	0.34462
9.6444	0.15823
9.3906	-0.03313
9.1368	-0.235
8.883	-0.44186
8.6292	-0.63627
8.3754	-0.84149
8.1216	-1.01044
7.8678	-0.81922
7.614	-0.99164
7.3602	-1.21217
7.1064	-1.46409
6.8526	-1.46819
6.5988	-1.6286
6.345	-1.77505
6.0912	-1.92416
5.8374	-2.08083
5.5836	-2.21444
5.3298	-2.35178
5.076	-2.48758
4.8222	-2.62042
4.5684	-2.93866
4.3146	-3.02595
4.0608	-3.04359
3.807	-3.19443
3.5532	-3.24118
3.2994	-3.26713
3.0456	-3.30228
2.7918	-3.31205
2.538	-3.31205
2.2842	-3.36144
2.0304	-3.40527
1.7766	-3.45582
1.5228	-3.49482
1.269	-3.52896
1.0152	-3.56421
0.7614	-3.59567
0.5076	-3.64029
0.2538	-3.674
0	-3.70471
-0.2538	-3.73718
-0.5076	-3.77146
-0.7614	-3.82143
-1.0152	-3.85847
-1.269	-3.86794
-1.5228	-3.90753
-1.7766	-3.93548
-2.0304	-3.96659
-2.2842	-4.00997
-2.538	-4.11455
-2.7918	-4.13986
-3.0456	-4.1493
-3.2994	-4.20336
-3.5532	-4.19674
-3.807	-4.21448
-4.0608	-4.25429
-4.3146	-4.2445
-4.5684	-4.24677
-4.8222	-4.27177
-5.076	-4.35436
-5.3298	-4.38598
-5.5836	-4.43882
-5.8374	-4.46599
-6.0912	-4.4814
-6.345	-4.5159
-6.5988	-4.54373
-6.8526	-4.56105
-7.1064	-4.59839
-7.3602	-4.63202
-7.614	-4.64863
-7.8678	-4.68435
-8.1216	-4.71949
-8.3754	-4.7359
-8.6292	-4.77198
-8.883	-4.79229
-9.1368	-4.81783
-9.3906	-4.85298
-9.6444	-4.89538
-9.8982	-4.90284
-10.152	-4.93114
-10.4058	-4.95421
-10.6596	-4.9899
-10.9134	-5.00974
-11.1672	-5.0421
-11.421	-5.06027
-11.6748	-5.0771
-11.9286	-5.11777
-12.1824	-5.11931
-12.4362	-5.17482
-12.69	-5.20417
-12.9438	-5.21751
-13.1976	-5.24963
-13.4514	-5.27577
-13.7052	-5.31298
-13.959	-5.32771
-14.2128	-5.33942
-14.4666	-5.36618
-14.7204	-5.40398
-14.9742	-5.43468
-15.228	-5.45075
