Voltage [V] - Plot 0	Current [microA] - Plot 0
25.38	7.04021
25.1262	6.98271
24.8724	6.9827
24.6186	6.94897
24.3648	6.88414
24.111	6.86029
23.8572	6.81647
23.6034	6.75797
23.3496	6.74908
23.0958	6.67445
22.842	6.63285
22.5882	6.59923
22.3344	6.57693
22.0806	6.53084
21.8268	6.48468
21.573	6.44903
21.3192	6.36647
21.0654	6.35168
20.8116	6.29958
20.5578	6.25925
20.304	6.20145
20.0502	6.15285
19.7964	6.10211
19.5426	6.0817
19.2888	6.02581
19.035	5.97691
18.7812	5.95662
18.5274	5.91099
18.2736	5.89424
18.0198	5.80416
17.766	5.76555
17.5122	5.70813
17.2584	5.68195
17.0046	5.63986
16.7508	5.59458
16.497	5.52336
16.2432	5.47876
15.9894	5.41913
15.7356	5.37751
15.4818	5.30873
15.228	5.26475
14.9742	5.22223
14.7204	5.16237
14.4666	5.11172
14.2128	5.02516
13.959	4.96315
13.7052	4.85126
13.4514	4.80239
13.1976	4.69171
12.9438	4.56083
12.69	4.49316
12.4362	4.34465
12.1824	4.26643
11.9286	4.11368
11.6748	3.91866
11.421	3.72612
11.1672	3.53728
10.9134	3.16766
10.6596	2.88517
10.4058	2.59247
10.152	2.38249
9.8982	2.08101
9.6444	1.76217
9.3906	1.42732
9.1368	1.11269
8.883	0.73805
8.6292	0.35385
8.3754	-0.02256
8.1216	-0.3727
7.8678	-0.73522
7.614	-0.89952
7.3602	-1.14105
7.1064	-1.43278
6.8526	-1.77968
6.5988	-1.91862
6.345	-3.16927
6.0912	-3.53681
5.8374	-3.61866
5.5836	-3.95269
5.3298	-3.34376
5.076	-3.62238
4.8222	-3.93734
4.5684	-4.29619
4.3146	-4.6084
4.0608	-4.89161
3.807	-5.0943
3.5532	-5.30346
3.2994	-5.49493
3.0456	-5.67198
2.7918	-5.82046
2.538	-5.98984
2.2842	-6.11865
2.0304	-6.20636
1.7766	-6.35532
1.5228	-6.32102
1.269	-6.43394
1.0152	-6.4934
0.7614	-6.58427
0.5076	-6.61842
0.2538	-6.65088
0	-6.75856
-0.2538	-6.76285
-0.5076	-6.8608
-0.7614	-6.98245
-1.0152	-7.05026
-1.269	-7.10701
-1.5228	-7.17309
-1.7766	-7.22567
-2.0304	-7.30971
-2.2842	-7.31863
-2.538	-7.33097
-2.7918	-7.40373
-3.0456	-7.49073
-3.2994	-7.54321
-3.5532	-7.5655
-3.807	-7.62634
-4.0608	-7.71295
-4.3146	-7.77455
-4.5684	-7.83551
-4.8222	-7.8796
-5.076	-7.9443
-5.3298	-7.99481
-5.5836	-8.12595
-5.8374	-8.19463
-6.0912	-8.2519
-6.345	-8.30765
-6.5988	-8.36184
-6.8526	-8.41203
-7.1064	-8.42421
-7.3602	-8.47106
-7.614	-8.51542
-7.8678	-8.57325
-8.1216	-8.64019
-8.3754	-8.68408
-8.6292	-8.70487
-8.883	-8.77601
-9.1368	-8.84066
-9.3906	-8.8457
-9.6444	-8.89552
-9.8982	-8.90638
-10.152	-8.97603
-10.4058	-9.05793
