Voltage [V] - Plot 0	Current [microA] - Plot 0
25.38	13.79631
25.1262	13.76353
24.8724	13.67737
24.6186	13.6588
24.3648	13.58434
24.111	13.55522
23.8572	13.51627
23.6034	13.40082
23.3496	13.30446
23.0958	13.22532
22.842	13.17212
22.5882	13.08576
22.3344	13.04048
22.0806	12.9167
21.8268	12.87015
21.573	12.79274
21.3192	12.68333
21.0654	12.72938
20.8116	12.58504
20.5578	12.51802
20.304	12.43833
20.0502	12.33921
19.7964	12.28348
19.5426	12.20982
19.2888	12.13614
19.035	12.08041
18.7812	11.99193
18.5274	11.9068
18.2736	11.84137
18.0198	11.76916
17.766	11.68051
17.5122	11.6028
17.2584	11.53972
17.0046	11.42428
16.7508	11.35235
16.497	11.29036
16.2432	11.17417
15.9894	11.10774
15.7356	11.03349
15.4818	10.94759
15.228	10.84215
14.9742	10.78178
14.7204	10.68579
14.4666	10.6091
14.2128	10.49104
13.959	10.38507
13.7052	10.28264
13.4514	10.19096
13.1976	10.11395
12.9438	9.97245
12.69	9.86776
12.4362	9.69938
12.1824	9.55985
11.9286	9.38612
11.6748	9.13688
11.421	8.94033
11.1672	8.64141
10.9134	8.33653
10.6596	7.93218
10.4058	7.5229
10.152	7.01063
9.8982	6.42192
9.6444	5.77197
9.3906	5.0594
9.1368	4.27911
8.883	3.36126
8.6292	2.43629
8.3754	1.50642
8.1216	0.51521
7.8678	-0.47789
7.614	-1.48986
7.3602	-2.54418
7.1064	-3.49988
6.8526	-4.51602
6.5988	-5.43126
6.345	-6.36118
6.0912	-7.17606
5.8374	-7.96567
5.5836	-9.09462
5.3298	-9.66797
5.076	-10.41061
4.8222	-10.77484
4.5684	-11.10441
4.3146	-11.4244
4.0608	-11.63338
3.807	-11.91636
3.5532	-12.11349
3.2994	-12.295
3.0456	-12.46184
2.7918	-12.60134
2.538	-12.7207
2.2842	-12.85944
2.0304	-12.975
1.7766	-13.09418
1.5228	-13.16861
1.269	-13.29251
1.0152	-13.40745
0.7614	-13.51612
0.5076	-13.62699
0.2538	-13.72549
0	-13.82261
-0.2538	-13.92464
-0.5076	-14.02591
-0.7614	-14.13363
-1.0152	-14.22005
-1.269	-14.33711
-1.5228	-14.41363
-1.7766	-14.50633
-2.0304	-14.6006
-2.2842	-14.69128
-2.538	-14.79117
-2.7918	-14.87954
-3.0456	-14.93819
-3.2994	-15.00341
-3.5532	-15.09746
-3.807	-15.1799
-4.0608	-15.34679
-4.3146	-15.3719
-4.5684	-15.53813
-4.8222	-15.53421
-5.076	-15.58302
-5.3298	-15.65217
-5.5836	-15.75026
-5.8374	-15.83743
-6.0912	-15.9285
-6.345	-15.99845
-6.5988	-16.06174
-6.8526	-16.16898
-7.1064	-16.28366
-7.3602	-16.34595
-7.614	-16.43002
-7.8678	-16.50021
-8.1216	-16.39902
-8.3754	-16.50392
-8.6292	-16.57147
-8.883	-16.65432
-9.1368	-16.74311
-9.3906	-16.8064
-9.6444	-16.86932
-9.8982	-16.97242
-10.152	-17.03102
